pksid,pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,0,5,6,3,HeaSolver,2.34375,5.6640625,94.53497860724092,31,1.3129359756712802,339.23760401434265,17408
0,0,0,5,6,3,PenaltySolver,1.5625,9.375,85.31516327471348,31,1.3994473550119437,339.30864458798897,17408
0,0,0,1,6,3,ChocoSolver,10.15625,19.3359375,48.755504217040446,16,0.6334300529561006,214.1515510189929,9216
0,0,0,5,6,3,QtoSolver,0.78125,2.1484375,106.9680396754836,31,1.4438122269930318,2575.3034534089966,17408
0,0,0,5,6,3,QtoSimplifySolver,4.6875,8.0078125,89.94193883868914,31,1.4848132228362374,2574.4809316811734,17408
0,0,0,5,6,3,QtoSimplifyDiscardSolver,8.7890625,17.1875,54.11576699625839,16,0.7037481829756871,214.14458741701674,9216
0,0,0,5,6,3,QtoSimplifyDiscardSegmentedSolver,63.27433628318584,100.0,0.07079646011263067,30,5.090832539019175,7803.864107305999,110592
0,0,1,5,6,3,HeaSolver,1.3671875,3.90625,45.34341030637243,31,1.2264023603056557,276.24271802970907,17408
0,0,1,5,6,3,PenaltySolver,1.171875,4.296875,49.049762206934886,31,1.3811664817039855,339.22217308328254,17408
0,0,1,1,6,3,ChocoSolver,5.078125,12.890625,29.771229606621205,15,0.599590557103511,214.23595354193822,8704
0,0,1,5,6,3,QtoSolver,1.3671875,3.125,50.314962613993494,31,1.4939832159434445,2575.292749853048,17408
0,0,1,5,6,3,QtoSimplifySolver,0.5859375,1.5625,49.698879054478745,31,1.5161277600564063,2622.3194499419187,17408
0,0,1,5,6,3,QtoSimplifyDiscardSolver,0.9765625,11.1328125,28.37381112896791,15,0.7744626789935865,213.28209311899263,8704
0,0,1,5,6,3,QtoSimplifyDiscardSegmentedSolver,30.454545454545457,100.0,0.24980237143289227,30,5.061006450792775,7761.450348882237,108544
0,0,2,5,6,3,HeaSolver,0.9765625,6.25,51.05703122447148,31,1.1151621901080944,339.420227419876,17408
0,0,2,5,6,3,PenaltySolver,0.5859375,9.1796875,46.94248044527876,31,1.4749790340429172,338.3761473809718,17408
0,0,2,1,6,3,ChocoSolver,8.7890625,16.796875,29.327246079086375,16,0.5441742659895681,213.2135039549903,9216
0,0,2,5,6,3,QtoSolver,1.5625,3.125,59.732421845133786,31,1.6154389078728855,2016.7392974601244,17408
0,0,2,5,6,3,QtoSimplifySolver,0.78125,1.953125,60.25107418862446,31,1.4515736302128062,1959.9640029628063,17408
0,0,2,5,6,3,QtoSimplifyDiscardSolver,0.390625,11.71875,33.790527326854736,16,0.8460451192222536,214.14071857678937,9216
0,0,2,5,6,3,QtoSimplifyDiscardSegmentedSolver,42.608695652173914,100.0,0.34434782591478275,29,4.675067443400621,7462.304895516601,102400
0,0,3,5,6,3,HeaSolver,0.9765625,5.2734375,44.64045514363458,31,1.1871396708884276,276.19078378909035,17408
0,0,3,5,6,3,PenaltySolver,1.5625,5.46875,40.870584221360616,31,1.2528634259360842,339.4818303670618,17408
0,0,3,1,6,3,ChocoSolver,6.8359375,16.40625,29.183508818833257,15,0.5596445359406061,214.22315685404465,8704
0,0,3,5,6,3,QtoSolver,0.78125,3.515625,51.31606655377562,31,1.5795431119040586,2128.4042024830705,17408
0,0,3,5,6,3,QtoSimplifySolver,0.5859375,2.5390625,49.350288701369436,31,1.60616672586184,2668.350409857114,17408
0,0,3,5,6,3,QtoSimplifyDiscardSolver,5.859375,11.5234375,27.94590691719743,16,0.7807901139603928,213.13535360002425,9216
0,0,3,5,6,3,QtoSimplifyDiscardSegmentedSolver,58.371040723981906,100.0,0.1589612432911068,27,4.242171083868016,6386.49474163109,94208
2,0,0,5,7,4,HeaSolver,1.3671875,2.5390625,83.30297846356063,31,3.1483642312232405,452.6466391317663,17408
2,0,0,5,7,4,PenaltySolver,1.5625,3.3203125,78.16308588864807,31,3.4141612629173324,452.68524327804334,17408
2,0,0,1,7,4,ChocoSolver,2.734375,7.8125,67.52685542654571,15,1.413026888098102,293.46037627587793,8704
2,0,0,5,7,4,QtoSolver,1.7578125,5.078125,73.1297606964814,31,2.9585992619977333,454.1279726649518,17408
2,0,0,5,7,4,QtoSimplifySolver,1.171875,5.859375,67.76452632483466,31,4.066294976917561,2876.6826922571054,17408
2,0,0,5,7,4,QtoSimplifyDiscardSolver,0.390625,3.7109375,74.76428217983482,27,3.7852186842937954,452.54291191272205,15360
2,0,0,5,7,4,QtoSimplifyDiscardSegmentedSolver,38.0,99.99999999999999,0.1749999998906248,31,22.213215113210026,21545.515214282786,214016
2,0,1,5,7,4,HeaSolver,5.46875,6.8359375,39.37527900379454,31,3.1183952169376425,371.5748419270385,17408
2,0,1,5,7,4,PenaltySolver,2.34375,4.6875,45.43450054180911,31,3.269912774907425,452.67421980708605,17408
2,0,1,1,7,4,ChocoSolver,3.515625,6.640625,32.72258648384908,15,1.306673359067645,293.37272577697877,8704
2,0,1,5,7,4,QtoSolver,4.4921875,7.03125,37.727469294561615,31,4.053257772291545,2541.0734890177264,17408
2,0,1,5,7,4,QtoSimplifySolver,2.1484375,3.515625,46.13685824245112,31,4.016080750094261,2590.7701031418983,17408
2,0,1,5,7,4,QtoSimplifyDiscardSolver,2.1484375,3.90625,45.88037107736415,31,4.704215467092581,2688.6897478389437,17408
2,0,1,5,7,4,QtoSimplifyDiscardSegmentedSolver,58.33333333333333,100.0,0.044642857126913266,31,29.013450461556204,29541.15643312945,389120
