pkid,pbid,layers,variables,constraints,method,p_gate1,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,37,5,6,3,QtoSimplifyDiscardSegmentedSolver,1e-06,99.67637540453075,100.0,0.002037636340711413,30,134.11621952496353,592.4564935370363,187
0,38,5,6,3,QtoSimplifyDiscardSegmentedSolver,1e-06,97.26177437020812,100.0,0.0016976998896221216,41,202.75856922104867,863.460952707952,283
0,39,5,6,3,QtoSimplifyDiscardSegmentedSolver,1e-06,100.0,100.0,0.0,27,117.21461923991592,492.45817931608326,173
0,40,5,6,3,QtoSimplifyDiscardSegmentedSolver,1e-06,99.89177489177489,100.0,0.0014430014420392968,27,125.69594263894396,485.7417219280542,150
0,41,5,6,3,QtoSimplifyDiscardSegmentedSolver,1e-06,99.78700745473908,100.0,0.0016815200932801249,32,140.3049115450267,601.5943583209737,192
0,42,5,6,3,QtoSimplifyDiscardSegmentedSolver,1e-06,99.5703544575725,100.0,0.010280804036256903,34,168.0318283259985,747.8121099760028,228
0,43,5,6,3,QtoSimplifyDiscardSegmentedSolver,1e-06,99.67497291440954,100.0,0.003447256965249851,34,137.7658088389653,631.5360162070356,213
0,44,5,6,3,QtoSimplifyDiscardSegmentedSolver,1e-06,99.8936170212766,100.0,0.0003799392094550532,35,159.49771738800337,631.8660146959955,207
0,45,5,6,3,QtoSimplifyDiscardSegmentedSolver,1e-06,99.78563772775992,100.0,0.003751339759512325,27,113.87286414599657,490.6900454170027,150
0,46,5,6,3,QtoSimplifyDiscardSegmentedSolver,1e-06,100.0,100.0,0.0,28,122.14001462797751,539.4123345870248,163
0,47,5,6,3,QtoSimplifyDiscardSegmentedSolver,1e-06,99.68487394957984,100.0,0.006111535517744265,34,153.6993946100556,662.1821392239435,221
0,48,5,6,3,QtoSimplifyDiscardSegmentedSolver,1e-06,100.0,100.0,0.0,28,94.82297148703947,505.63373307095753,162
0,49,5,6,3,QtoSimplifyDiscardSegmentedSolver,1e-06,99.46062567421791,100.0,0.005483638974214904,33,156.2674385790233,635.5248449109786,207
0,50,5,6,3,QtoSimplifyDiscardSegmentedSolver,1e-06,100.0,100.0,0.0,22,109.70808750105789,397.74023924494395,128
0,51,5,6,3,QtoSimplifyDiscardSegmentedSolver,1e-06,99.89395546129374,100.0,0.0016388701421522357,39,165.57461580800737,693.149880629986,217
