iteration_count, cost_function
1, 33.95189873417721
2, 33.78048780487805
3, 33.027499999999996
4, 32.916040100250626
5, 36.09922680412371
6, 33.07960199004975
7, 33.2314578005115
8, 33.63920099875155
9, 34.53964194373402
10, 32.85679012345679
11, 33.58837772397094
12, 35.494936708860756
13, 33.42625
14, 33.99380421313507
15, 32.77820512820513
16, 34.86755771567436
17, 32.91428571428571
18, 33.293081761006285
19, 41.293519695044466
20, 32.404853128991064
21, 34.06034482758621
22, 32.38793103448276
23, 33.5639751552795
24, 31.74465408805031
25, 31.991389913899138
26, 33.079589216944804
27, 33.39281288723668
28, 32.826086956521735
29, 34.80451127819549
30, 29.86554621848739
31, 32.90218790218789
32, 29.707808564231744
33, 29.510101010101017
34, 29.46898263027295
35, 28.870210135970332
36, 30.05341614906832
37, 28.340179717586647
38, 29.718865598027126
39, 28.938287153652396
40, 30.40074441687345
41, 28.97627965043695
42, 29.9078624078624
43, 29.409429280397017
44, 28.97163995067818
45, 28.871890547263682
46, 28.78136645962733
47, 28.289111389236545
48, 28.852941176470583
49, 28.651851851851852
50, 28.669975186104217
51, 28.192682926829264
52, 28.61910669975186
53, 28.239103362391035
54, 29.543726235741442
55, 28.176470588235293
56, 28.50888324873097
57, 28.33087330873309
58, 28.102342786683106
59, 28.03379224030038
60, 28.461904761904755
61, 28.536555142503097
62, 27.852258852258856
63, 28.303413400758537
64, 30.05911949685535
65, 28.09046454767726
66, 28.851668726823238
67, 28.21517412935323
68, 29.223733003708283
69, 28.68511685116851
70, 27.9575
71, 27.996250000000007
72, 28.157317073170734
73, 28.155193992490616
74, 28.453865336658346
75, 28.58720200752823
76, 28.674999999999997
77, 28.655430711610485
78, 28.04534005037783
79, 28.306930693069308
80, 29.141967621419678
81, 27.45137157107232
82, 27.86934673366834
83, 28.71940667490729
84, 28.142673521850902
85, 28.43611793611793
86, 28.48941469489415
87, 28.164556962025316
88, 28.379731379731375
89, 28.118100128369704
90, 28.711392405063293
91, 28.22478736330498
92, 27.880341880341877
93, 28.22942643391521
94, 28.58773006134969
95, 28.336175395858707
96, 27.806289308176105
97, 28.179775280898877
98, 28.037267080745337
99, 28.612296110414054
100, 28.778319123020708
101, 27.6509900990099
102, 28.795994993742177
103, 28.57018633540373
104, 28.80958083832336
105, 28.300124533001252
106, 27.895883777239707
107, 28.383394383394382
108, 28.928223844282243
109, 28.08592777085928
110, 28.360635696821518
111, 28.088575096277278
112, 27.992500000000003
113, 27.90954773869347
114, 28.356265356265354
115, 28.539622641509435
116, 28.416455696202533
117, 28.398467432950188
118, 27.894056847545222
119, 28.78411910669975
120, 28.646840148698885
121, 28.633333333333333
122, 28.133663366336634
123, 28.332467532467533
124, 28.48602673147023
125, 28.467418546365916
126, 28.4375
127, 28.129901960784316
128, 28.102922490470142
129, 28.17191283292978
130, 28.521144278606965
131, 28.320987654320984
132, 27.65350318471338
133, 29.177581863979846
134, 28.405031446540885
135, 28.100973236009736
136, 28.0171358629131
137, 28.853267570900123
138, 28.310473815461343
139, 28.508684863523573
140, 28.30632911392405
141, 28.721437740693194
142, 28.293233082706767
