iteration_count, cost_function
1, 46.073270013568525
2, 45.060810810810814
3, 46.01761517615176
4, 45.39918256130791
5, 44.89349930843707
6, 45.494071146245055
7, 44.75842696629215
8, 46.518970189701896
9, 45.683923705722066
10, 44.70168067226891
11, 47.506702412868634
12, 45.82876712328766
13, 45.72287581699347
14, 45.36856368563686
15, 46.15102040816327
16, 46.58021390374332
17, 46.697986577181204
18, 49.97428958051421
19, 44.708724832214756
20, 45.81149732620322
21, 47.82352941176471
22, 46.89539748953973
23, 45.667114093959725
24, 43.171957671957664
25, 45.29575596816976
26, 41.929729729729736
27, 43.04435483870967
28, 43.14018691588786
29, 42.813672922252
30, 43.75464190981432
31, 42.743767313019404
32, 43.60893098782139
33, 43.10714285714286
34, 42.384925975773896
35, 42.65217391304347
36, 43.06854838709677
37, 44.5443383356071
38, 43.41554959785523
39, 44.41200545702591
40, 42.10273081924578
41, 42.93314763231197
42, 43.88785046728973
43, 43.70810810810811
44, 44.51758087201126
45, 42.5735294117647
46, 43.089795918367344
