iteration_count, cost_function
1, 45.38461538461539
2, 45.99846153846154
3, 45.780487804878064
4, 46.34814814814814
5, 45.69545454545454
6, 46.593613933236576
7, 47.96846846846847
8, 47.102339181286546
9, 46.74816983894583
10, 46.8950354609929
11, 46.47640117994099
12, 46.33478893740902
13, 47.153618906942384
14, 45.64714285714286
15, 47.8243626062323
16, 45.98573466476462
17, 47.77080291970803
18, 50.34403669724771
19, 46.405286343612325
20, 45.8413597733711
21, 45.349557522123895
22, 47.03197674418605
23, 45.1688500727802
24, 46.875350140056014
25, 46.73283582089553
26, 47.18577648766328
27, 47.045994065281896
28, 44.787172011661816
29, 47.44875776397515
30, 46.93421052631579
31, 45.63439306358382
32, 44.816023738872396
33, 46.89285714285714
34, 45.313235294117646
35, 46.81181318681318
36, 46.50750750750751
37, 47.31838565022422
38, 46.912732474964244
39, 45.563049853372426
40, 46.31149927219796
41, 46.025373134328355
42, 49.027338129496414
