iteration_count, cost_function
1, 49.49672346002622
2, 48.6
3, 49.37002652519894
4, 48.94540612516645
5, 51.60797799174691
6, 49.00000000000001
7, 47.347651006711416
8, 46.47574123989218
9, 47.18034993270525
10, 48.07161458333335
11, 47.94778067885117
12, 49.91152815013405
13, 48.221024258760096
14, 49.20754716981131
15, 48.109919571045566
16, 46.663659793814446
17, 47.54235145385588
18, 49.839537869062895
19, 52.57816711590296
20, 47.666208791208796
21, 47.64323607427056
22, 47.92036553524805
23, 48.18298969072165
24, 47.45938748335552
25, 47.97866666666667
26, 50.047682119205305
27, 48.32851511169513
28, 48.17662682602922
29, 47.20424403183024
30, 48.24218749999999
31, 46.992268041237125
32, 47.44152431011827
33, 47.06824146981627
34, 47.84704370179948
35, 47.66710526315791
36, 46.798418972332016
37, 45.47430830039526
38, 45.56521739130436
39, 45.726205997392434
40, 45.310846560846564
41, 44.432467532467534
42, 45.385126162018594
43, 46.194263363754885
44, 45.570270270270264
45, 44.61845730027548
46, 45.712
47, 45.69616908850727
48, 43.90578734858681
49, 44.418449197860966
50, 44.39999999999999
51, 44.530343007915576
52, 45.316272965879264
53, 45.64120054570259
54, 45.6892067620286
55, 44.26819923371647
56, 45.25975773889637
57, 46.035110533159944
58, 44.121568627450976
59, 43.5907284768212
60, 45.120104438642294
61, 44.741602067183464
62, 44.528252299605775
63, 45.796875
64, 44.75749674054758
65, 45.46514745308312
66, 45.284750337381915
67, 44.453024453024454
68, 45.217741935483865
69, 44.77894736842104
70, 44.87649402390439
71, 45.32065217391304
72, 44.940397350993386
73, 44.29133858267716
74, 43.685362517099875
75, 44.268
76, 44.28835978835979
77, 45.45285524568393
78, 45.38227848101266
79, 44.95698924731182
80, 44.31994645247658
81, 44.86243386243386
82, 45.3236459709379
83, 44.9932614555256
84, 44.2690763052209
85, 44.31002638522428
86, 45.914698162729664
87, 45.6173001310616
88, 43.59138381201045
89, 45.05622489959839
90, 45.290531776913106
91, 45.0
92, 45.02190721649484
93, 44.80884265279584
94, 44.1480996068152
95, 44.13779527559055
96, 44.13846153846153
97, 45.01344086021505
98, 46.27168367346938
99, 44.588235294117645
100, 44.875825627476885
101, 44.56724367509987
102, 45.96993464052287
103, 45.608751608751604
104, 44.83333333333334
105, 45.868700265252
106, 45.19868421052632
107, 44.088390501319246
108, 44.465177398160314
109, 45.42030848329048
110, 44.422733077905484
111, 45.325490196078434
112, 43.6020942408377
113, 45.348958333333336
