Iteration,Cost
1,3278.216796875
2,3278.216796875
3,3278.216796875
4,3278.216796875
5,3278.216796875
6,3278.216796875
7,3278.216796875
8,3278.216796875
9,3278.216796875
10,3278.216796875
11,3278.216796875
12,3278.216796875
13,3278.216796875
14,3278.216796875
15,3278.216796875
16,3311.458984375
17,3178.982421875
18,3297.0380859375
19,3272.392578125
20,3248.935546875
21,3262.4755859375
22,3206.955078125
23,3274.3076171875
24,3285.279296875
25,3177.0078125
26,3279.9619140625
27,3264.548828125
28,3225.298828125
29,3199.0732421875
30,3233.8095703125
31,3305.3916015625
32,3230.2265625
33,3298.1796875
34,3262.0556640625
35,3271.1435546875
36,3261.369140625
37,3250.9580078125
38,3226.1513671875
39,3176.6494140625
40,3166.0341796875
41,3237.884765625
42,3195.23828125
43,3275.685546875
44,3194.5693359375
45,3269.9208984375
46,3227.623046875
47,3210.970703125
48,3221.873046875
49,3271.1337890625
50,3206.6435546875
51,3327.8359375
52,3259.2158203125
53,3256.4169921875
54,3306.900390625
55,3302.8544921875
56,3252.26171875
57,3287.69140625
58,3276.3916015625
59,3314.533203125
60,3207.9560546875
61,3208.3916015625
62,3220.97265625
63,3272.419921875
64,3210.630859375
65,3295.125
66,3354.23046875
67,3353.3955078125
68,3299.7177734375
69,3186.56640625
70,3252.4326171875
71,3272.6826171875
72,3283.55078125
73,3205.236328125
74,3310.892578125
75,3264.7041015625
76,3243.544921875
77,3272.8193359375
78,3255.234375
79,3266.603515625
80,3291.849609375
81,3289.6572265625
82,3246.5498046875
83,3311.8125
84,3265.6728515625
85,3224.0322265625
86,3300.98828125
87,3198.7109375
88,3274.033203125
89,3253.7607421875
90,3201.39453125
91,3314.984375
92,3320.3828125
93,3233.7529296875
94,3178.1611328125
95,3241.0322265625
96,3268.275390625
97,3355.8955078125
98,3255.9453125
99,3260.9189453125
100,3292.78125
101,3289.00390625
102,3279.5
103,3192.76953125
104,3253.80078125
105,3268.09765625
106,3304.4736328125
107,3273.5546875
108,3328.8369140625
109,3193.275390625
110,3302.3203125
111,3242.08984375
112,3250.140625
113,3298.8935546875
114,3230.65625
115,3250.923828125
116,3164.18359375
117,3273.98046875
118,3211.748046875
119,3281.7001953125
120,3337.9658203125
121,3281.2294921875
122,3350.435546875
123,3278.5390625
124,3187.890625
125,3281.59375
126,3276.3369140625
