Iteration,Cost
1,3237.0732421875
2,3249.607421875
3,3228.84765625
4,3213.7021484375
5,3213.5244140625
6,3300.828125
7,3269.5107421875
8,3213.390625
9,3244.7861328125
10,3207.619140625
11,3308.1220703125
12,3208.888671875
13,3290.318359375
14,3236.53125
15,3203.064453125
16,3258.1484375
17,3238.970703125
18,3320.2392578125
19,3176.3427734375
20,3253.306640625
21,3165.7587890625
22,3300.3076171875
23,3281.4404296875
24,3253.873046875
25,3279.7275390625
26,3295.2080078125
27,3289.216796875
28,3246.3037109375
29,3338.4140625
30,3247.408203125
31,3286.2001953125
32,3281.1181640625
33,3288.0546875
34,3249.12109375
35,3212.35546875
36,3290.4892578125
37,3190.0869140625
38,3218.5
39,3275.3037109375
40,3219.4287109375
41,3188.814453125
42,3253.869140625
43,3274.392578125
44,3302.0693359375
45,3236.6572265625
46,3240.4169921875
47,3232.42578125
48,3284.4599609375
49,3236.7412109375
50,3256.052734375
51,3211.5703125
52,3286.5224609375
53,3276.7578125
54,3251.6923828125
55,3248.943359375
56,3169.9970703125
57,3296.251953125
58,3224.595703125
59,3364.5009765625
60,3298.8056640625
61,3146.3701171875
62,3267.916015625
63,3263.2841796875
64,3303.1064453125
65,3276.6298828125
66,3218.982421875
67,3279.7451171875
68,3214.4189453125
69,3305.0859375
70,3244.1689453125
71,3159.818359375
72,3241.91796875
73,3293.5166015625
74,3191.125
75,3313.025390625
76,3340.5654296875
77,3271.779296875
78,3263.0
79,3266.412109375
80,3252.5703125
81,3260.392578125
82,3311.052734375
83,3245.7822265625
84,3178.478515625
85,3216.9921875
86,3280.30859375
87,3138.4794921875
88,3204.1220703125
89,3210.0654296875
90,3211.615234375
91,3301.8779296875
92,3203.6767578125
93,3294.3125
94,3254.677734375
95,3312.947265625
96,3336.8271484375
97,3258.8935546875
98,3307.837890625
99,3281.728515625
100,3308.2177734375
101,3234.0498046875
102,3273.1943359375
103,3320.474609375
104,3290.3642578125
105,3322.59765625
106,3299.0380859375
107,3246.2060546875
108,3216.599609375
109,3272.0048828125
110,3233.443359375
111,3247.6767578125
112,3236.609375
