Iteration,Cost
1,3294.77734375
2,3294.77734375
3,3294.77734375
4,3294.77734375
5,3294.77734375
6,3294.77734375
7,3294.77734375
8,3294.77734375
9,3294.77734375
10,3294.77734375
11,3294.77734375
12,3294.77734375
13,3294.77734375
14,3294.77734375
15,3294.77734375
16,3277.34375
17,3211.833984375
18,3248.5625
19,3296.203125
20,3306.6103515625
21,3244.8828125
22,3253.7685546875
23,3176.0234375
24,3251.6787109375
25,3231.9873046875
26,3185.5361328125
27,3205.8779296875
28,3272.404296875
29,3189.1962890625
30,3289.7587890625
31,3239.8037109375
32,3157.3955078125
33,3217.0244140625
34,3268.1767578125
35,3312.1845703125
36,3190.248046875
37,3202.2578125
38,3281.365234375
39,3338.5986328125
40,3245.427734375
41,3286.2734375
42,3274.9375
43,3325.5185546875
44,3261.7607421875
45,3298.2646484375
46,3252.5517578125
47,3215.1708984375
48,3238.681640625
49,3272.2392578125
50,3192.6220703125
51,3269.771484375
52,3245.1416015625
53,3260.3798828125
54,3201.0556640625
55,3208.8623046875
56,3282.1669921875
57,3207.271484375
58,3239.6806640625
59,3407.822265625
60,3161.54296875
61,3310.7490234375
62,3282.880859375
63,3308.2177734375
64,3250.53125
65,3196.9287109375
66,3335.4951171875
67,3225.9013671875
68,3303.693359375
69,3287.052734375
70,3183.7998046875
71,3290.0712890625
72,3236.0068359375
73,3235.92578125
74,3231.96484375
75,3151.845703125
76,3331.1513671875
77,3324.8271484375
78,3327.0087890625
79,3214.2919921875
80,3349.3193359375
81,3258.833984375
82,3209.09375
83,3184.04296875
84,3209.857421875
85,3301.208984375
86,3311.4658203125
87,3191.076171875
88,3264.390625
89,3247.26953125
90,3222.4150390625
91,3199.2548828125
92,3239.6328125
93,3325.39453125
94,3201.2509765625
95,3185.1220703125
96,3272.5703125
97,3240.0048828125
98,3304.6103515625
99,3207.505859375
100,3294.830078125
101,3247.0576171875
102,3223.6533203125
103,3205.5888671875
104,3274.759765625
105,3259.326171875
106,3295.2021484375
107,3277.3603515625
108,3299.21484375
109,3228.4892578125
110,3263.001953125
111,3245.97265625
112,3292.9267578125
113,3166.3359375
114,3202.65625
115,3162.7890625
116,3243.0703125
117,3261.8037109375
118,3287.609375
119,3353.8349609375
120,3202.9658203125
121,3232.41015625
122,3234.9853515625
