Iteration,Cost
1,3239.736328125
2,3230.41015625
3,3280.3115234375
4,3206.3876953125
5,3234.3642578125
6,3192.8369140625
7,3267.224609375
8,3304.2880859375
9,3220.8876953125
10,3250.2734375
11,3242.06640625
12,3287.46875
13,3263.1484375
14,3230.005859375
15,3311.77734375
16,3173.953125
17,3226.94921875
18,3287.7275390625
19,3232.0361328125
20,3237.2890625
21,3225.240234375
22,3303.7431640625
23,3313.77734375
24,3207.5185546875
25,3225.263671875
26,3279.0908203125
27,3249.18359375
28,3276.3359375
29,3170.1142578125
30,3196.9951171875
31,3203.9716796875
32,3258.1416015625
33,3153.765625
34,3222.0771484375
35,3209.9482421875
36,3200.021484375
37,3220.78515625
38,3226.3310546875
39,3203.6875
40,3208.3037109375
41,3180.24609375
42,3183.34375
43,3326.1572265625
44,3397.5078125
45,3261.146484375
46,3225.04296875
47,3246.4599609375
48,3256.279296875
49,3298.73046875
50,3270.7744140625
51,3222.4580078125
52,3255.2021484375
53,3245.037109375
54,3284.2890625
55,3281.5498046875
56,3231.1357421875
57,3205.0234375
58,3226.6171875
59,3266.078125
60,3271.021484375
61,3238.384765625
62,3260.69140625
63,3283.7421875
64,3200.5341796875
65,3228.2353515625
66,3308.6650390625
67,3351.431640625
68,3225.25
69,3272.736328125
70,3252.2646484375
71,3318.7099609375
72,3232.5390625
73,3319.306640625
74,3115.9560546875
75,3287.8515625
76,3261.59765625
77,3276.8310546875
78,3243.134765625
79,3131.4501953125
80,3222.5029296875
81,3248.16015625
82,3229.1298828125
83,3382.0859375
84,3268.8935546875
85,3261.7197265625
86,3261.9423828125
87,3225.5703125
88,3249.5712890625
89,3266.17578125
90,3240.76171875
91,3346.681640625
92,3292.767578125
93,3236.7587890625
94,3192.033203125
95,3206.478515625
96,3198.634765625
97,3234.6298828125
98,3303.4287109375
99,3287.283203125
100,3292.8603515625
101,3271.55078125
102,3304.3369140625
103,3328.5283203125
104,3305.7412109375
105,3286.38671875
106,3163.685546875
107,3280.408203125
108,3186.291015625
109,3277.9384765625
110,3241.84375
111,3257.1484375
112,3289.2119140625
113,3252.8076171875
114,3196.1298828125
115,3226.30859375
116,3248.0859375
117,3265.1953125
118,3268.8125
119,3272.9873046875
120,3210.3173828125
121,3284.8095703125
122,3277.9580078125
123,3275.697265625
124,3206.802734375
125,3212.2109375
126,3335.9912109375
127,3184.662109375
128,3231.8935546875
129,3260.83984375
130,3289.2626953125
131,3195.7734375
132,3256.5205078125
133,3240.54296875
134,3334.15625
135,3231.16796875
136,3201.7216796875
137,3284.65625
138,3278.5595703125
139,3248.1669921875
140,3217.642578125
141,3242.630859375
142,3276.8525390625
143,3248.4072265625
144,3220.9375
145,3239.2705078125
146,3225.751953125
147,3143.5224609375
148,3282.177734375
149,3200.1220703125
150,3400.4833984375
151,3266.5634765625
152,3287.6337890625
153,3211.9833984375
154,3242.6953125
155,3225.7958984375
156,3224.5654296875
157,3181.640625
158,3188.716796875
159,3168.9443359375
160,3262.42578125
161,3329.283203125
162,3263.5234375
163,3274.6865234375
164,3304.7392578125
165,3198.8623046875
166,3191.5498046875
167,3237.1708984375
168,3240.6689453125
169,3263.759765625
170,3257.078125
171,3268.3330078125
172,3144.4189453125
173,3281.7177734375
174,3252.6083984375
175,3197.3818359375
176,3252.3447265625
177,3245.21875
178,3268.25390625
179,3296.7431640625
180,3242.1884765625
181,3265.9853515625
182,3227.763671875
183,3234.001953125
184,3262.3125
185,3278.40625
186,3233.2138671875
187,3271.5966796875
188,3313.890625
189,3236.9990234375
190,3245.5986328125
191,3206.6630859375
192,3345.3857421875
193,3309.3525390625
194,3232.091796875
195,3256.1875
196,3243.5810546875
197,3320.0048828125
198,3253.6376953125
199,3167.25
200,3236.8583984375
201,3290.20703125
202,3252.283203125
203,3249.0234375
204,3327.8779296875
205,3202.5703125
206,3230.9091796875
207,3157.9345703125
208,3167.4990234375
209,3253.66796875
210,3232.2822265625
211,3245.513671875
212,3264.2783203125
213,3278.80078125
214,3215.0869140625
215,3254.3447265625
216,3291.1669921875
217,3209.576171875
218,3181.193359375
219,3241.841796875
220,3224.443359375
221,3311.6611328125
222,3229.564453125
223,3285.4462890625
224,3217.8349609375
225,3242.951171875
226,3220.265625
227,3274.255859375
228,3179.5615234375
229,3220.4677734375
230,3257.0537109375
231,3299.8564453125
232,3153.978515625
233,3188.287109375
234,3219.9345703125
235,3190.9140625
236,3213.427734375
237,3282.4052734375
238,3230.814453125
239,3263.455078125
240,3235.8984375
241,3227.1474609375
242,3210.0029296875
243,3225.2080078125
244,3192.3857421875
245,3227.4375
246,3223.41015625
247,3161.154296875
248,3310.125
249,3310.6865234375
250,3203.2666015625
251,3181.080078125
252,3210.998046875
253,3225.99609375
254,3237.099609375
255,3239.20703125
256,3230.951171875
257,3212.244140625
258,3253.361328125
259,3173.75390625
260,3157.541015625
261,3202.728515625
262,3237.65234375
263,3215.484375
264,3294.9931640625
265,3247.9404296875
266,3249.8525390625
267,3259.849609375
268,3251.1982421875
269,3239.91796875
270,3234.2109375
271,3304.84375
272,3234.42578125
273,3238.3134765625
274,3213.275390625
275,3227.220703125
276,3232.80859375
277,3303.8623046875
278,3218.80859375
279,3271.658203125
280,3224.697265625
281,3184.6142578125
282,3250.87890625
283,3183.130859375
284,3242.8232421875
285,3210.1513671875
286,3258.6962890625
287,3248.4853515625
288,3336.5341796875
289,3219.1142578125
290,3259.869140625
291,3160.1201171875
292,3227.982421875
293,3242.720703125
294,3252.048828125
295,3268.72265625
296,3221.36328125
297,3211.583984375
298,3183.44921875
299,3186.59765625
300,3193.71484375
301,3115.9560546875
