Iteration,Cost
1,3329.8369140625
2,3277.173828125
3,3241.673828125
4,3202.6337890625
5,3207.0078125
6,3182.2412109375
7,3243.251953125
8,3252.6640625
9,3214.6337890625
10,3270.447265625
11,3192.90234375
12,3249.943359375
13,3281.6298828125
14,3336.8642578125
15,3266.27734375
16,3277.822265625
17,3276.22265625
18,3282.8125
19,3222.201171875
20,3333.2587890625
21,3179.9384765625
22,3182.4794921875
23,3296.2822265625
24,3222.3623046875
25,3315.3466796875
26,3247.4453125
27,3174.6767578125
28,3256.2744140625
29,3260.0048828125
30,3297.2529296875
31,3307.21875
32,3273.228515625
33,3235.703125
34,3269.15234375
35,3253.001953125
36,3244.576171875
37,3246.8408203125
38,3237.005859375
39,3239.5810546875
40,3236.146484375
41,3324.8857421875
42,3250.0771484375
43,3184.505859375
44,3232.908203125
45,3235.2890625
46,3353.125
47,3292.0712890625
48,3221.2626953125
49,3237.490234375
50,3215.4931640625
51,3240.6162109375
52,3239.60546875
53,3274.6201171875
54,3303.9462890625
55,3254.1181640625
56,3188.38671875
57,3197.3671875
58,3352.5791015625
59,3229.6982421875
60,3280.1435546875
61,3187.494140625
62,3265.830078125
63,3221.1904296875
64,3357.3740234375
65,3273.1298828125
66,3284.69921875
67,3210.6572265625
68,3263.025390625
69,3239.3154296875
70,3216.005859375
71,3253.04296875
72,3163.20703125
73,3224.884765625
74,3267.5615234375
75,3252.9560546875
76,3332.046875
77,3182.69140625
78,3255.3837890625
79,3197.1572265625
80,3305.1220703125
81,3212.2333984375
82,3173.3173828125
83,3198.7744140625
84,3237.1650390625
85,3317.126953125
86,3303.8017578125
87,3265.734375
88,3262.2373046875
89,3267.927734375
90,3214.7412109375
91,3347.3876953125
92,3222.662109375
93,3216.181640625
94,3345.9345703125
95,3258.6953125
96,3238.390625
97,3239.8828125
98,3189.8291015625
99,3245.90625
100,3201.28515625
101,3203.935546875
102,3129.0654296875
103,3213.982421875
104,3248.8134765625
105,3301.3984375
106,3251.298828125
107,3248.4873046875
108,3307.0302734375
109,3234.4501953125
110,3273.14453125
111,3271.630859375
112,3208.7802734375
113,3184.2451171875
114,3180.853515625
115,3331.03125
116,3234.8203125
117,3279.4375
118,3288.56640625
119,3162.3330078125
120,3301.91796875
121,3275.001953125
122,3189.626953125
123,3220.306640625
124,3253.576171875
125,3140.43359375
126,3244.2001953125
127,3293.078125
128,3238.0419921875
129,3262.6806640625
130,3258.552734375
131,3262.6455078125
132,3235.8203125
133,3205.2802734375
134,3234.8544921875
135,3289.8955078125
136,3208.6513671875
137,3281.28125
138,3252.6640625
139,3208.1455078125
140,3157.455078125
141,3202.1884765625
142,3236.625
143,3250.1728515625
144,3261.62890625
145,3285.056640625
146,3224.232421875
147,3309.3876953125
148,3307.96875
149,3262.41796875
150,3265.767578125
151,3298.91796875
152,3245.2763671875
153,3377.455078125
154,3193.80859375
155,3141.5869140625
156,3258.400390625
157,3184.46875
158,3212.7119140625
159,3233.3076171875
160,3296.015625
161,3349.1455078125
162,3201.166015625
163,3316.142578125
164,3210.5078125
165,3248.8828125
166,3278.248046875
167,3120.6484375
168,3235.412109375
169,3248.59375
170,3219.39453125
171,3263.5244140625
172,3253.6103515625
173,3254.5244140625
174,3335.0341796875
175,3261.6455078125
176,3266.2412109375
177,3290.1630859375
178,3243.8955078125
179,3284.0224609375
180,3319.701171875
181,3303.501953125
182,3299.740234375
183,3214.896484375
184,3162.0927734375
185,3239.79296875
186,3256.037109375
187,3292.79296875
188,3201.6943359375
189,3319.2529296875
190,3310.91796875
191,3233.7275390625
192,3246.4775390625
193,3232.791015625
194,3253.01171875
195,3213.5341796875
196,3251.390625
197,3247.0859375
198,3174.771484375
199,3234.099609375
200,3347.6083984375
201,3248.0869140625
202,3257.908203125
203,3184.4765625
204,3335.4794921875
205,3239.44921875
206,3274.2021484375
207,3252.5830078125
208,3295.888671875
209,3368.8583984375
210,3244.451171875
211,3234.6357421875
212,3297.775390625
213,3160.7587890625
214,3307.5185546875
215,3265.708984375
216,3372.9267578125
217,3294.1640625
218,3159.2734375
219,3331.6533203125
220,3262.8203125
221,3268.7236328125
222,3327.5791015625
223,3230.0263671875
224,3221.3701171875
225,3226.3740234375
226,3282.6826171875
227,3214.041015625
228,3239.14453125
229,3199.1748046875
230,3267.0263671875
231,3281.86328125
232,3099.0625
233,3263.8828125
234,3171.5419921875
235,3225.833984375
236,3231.6494140625
237,3232.4931640625
238,3267.7578125
239,3255.54296875
240,3237.4169921875
241,3242.013671875
242,3277.931640625
243,3243.255859375
244,3221.2724609375
245,3218.357421875
246,3195.0625
247,3222.3291015625
248,3276.1044921875
