Iteration,Cost
1,3211.7646484375
2,3236.1943359375
3,3111.4541015625
4,3325.4111328125
5,3197.3173828125
6,3284.39453125
7,3206.9658203125
8,3196.943359375
9,3283.974609375
10,3316.5986328125
11,3341.8349609375
12,3254.4423828125
13,3261.21875
14,3295.01953125
15,3280.986328125
16,3287.8232421875
17,3262.333984375
18,3309.0087890625
19,3234.0849609375
20,3336.345703125
21,3197.939453125
22,3254.904296875
23,3283.224609375
24,3177.3681640625
25,3250.5283203125
26,3270.5419921875
27,3198.138671875
28,3280.6201171875
29,3130.150390625
30,3249.1728515625
31,3283.787109375
32,3239.1162109375
33,3214.91796875
34,3344.8759765625
35,3255.220703125
36,3163.216796875
37,3249.4521484375
38,3279.2568359375
39,3241.6572265625
40,3172.208984375
41,3261.9873046875
42,3228.7333984375
43,3257.7060546875
44,3340.3076171875
45,3239.798828125
46,3239.7744140625
47,3369.9267578125
48,3264.80859375
49,3283.3955078125
50,3268.609375
51,3263.267578125
52,3279.5166015625
53,3206.693359375
54,3224.48046875
55,3226.9541015625
56,3347.7744140625
57,3256.904296875
58,3247.474609375
59,3295.1826171875
60,3302.59765625
61,3165.4892578125
62,3191.458984375
63,3331.6455078125
64,3229.9130859375
65,3245.2431640625
66,3244.1455078125
67,3298.5166015625
68,3257.56640625
69,3171.1611328125
70,3128.9482421875
71,3229.0400390625
72,3192.142578125
73,3259.828125
74,3279.693359375
75,3224.3291015625
76,3245.9833984375
77,3208.736328125
78,3158.73046875
79,3132.9423828125
80,3220.85546875
81,3201.2724609375
82,3325.673828125
83,3252.8359375
84,3203.5341796875
85,3314.470703125
86,3212.451171875
87,3255.7392578125
88,3285.064453125
89,3204.1484375
90,3207.5205078125
91,3222.4345703125
92,3279.4970703125
93,3318.029296875
94,3246.2822265625
95,3109.7744140625
96,3233.9189453125
97,3248.431640625
98,3237.662109375
99,3258.8203125
100,3213.0380859375
101,3268.490234375
102,3271.92578125
103,3217.0576171875
104,3213.2666015625
105,3261.73828125
106,3188.83984375
107,3282.4580078125
108,3238.7900390625
109,3249.7373046875
110,3213.2060546875
111,3253.6884765625
112,3209.201171875
113,3288.1572265625
114,3227.96875
115,3209.9873046875
116,3244.111328125
117,3221.36328125
118,3268.4326171875
119,3208.5419921875
120,3243.2763671875
121,3293.974609375
122,3238.0908203125
123,3145.21875
124,3135.4814453125
125,3244.7216796875
126,3321.3837890625
127,3218.947265625
128,3219.849609375
129,3210.8876953125
130,3294.291015625
131,3186.822265625
132,3306.5205078125
133,3196.87890625
134,3195.369140625
135,3251.9111328125
136,3244.755859375
137,3273.9521484375
138,3207.498046875
139,3207.5302734375
140,3189.2587890625
141,3213.0849609375
142,3223.8017578125
143,3259.40625
144,3187.0458984375
145,3249.3076171875
146,3290.873046875
147,3204.23046875
148,3341.0673828125
149,3280.6943359375
150,3223.302734375
151,3270.2373046875
152,3190.5078125
153,3296.2294921875
154,3299.3505859375
155,3324.396484375
156,3257.8291015625
157,3216.46484375
158,3205.142578125
159,3239.0693359375
160,3128.021484375
161,3224.3076171875
162,3241.0634765625
163,3241.9521484375
164,3231.796875
165,3380.7294921875
166,3218.814453125
167,3246.6025390625
168,3193.888671875
169,3159.892578125
170,3194.7900390625
171,3243.482421875
172,3254.4970703125
173,3191.7646484375
174,3261.1474609375
175,3276.6650390625
176,3182.044921875
177,3223.0888671875
178,3203.6884765625
179,3359.33984375
180,3290.1787109375
181,3260.5498046875
182,3209.310546875
183,3237.857421875
184,3196.5791015625
185,3283.6865234375
186,3217.365234375
187,3279.1337890625
188,3211.6708984375
189,3260.416015625
190,3274.0791015625
191,3205.3427734375
192,3212.00390625
193,3191.6103515625
194,3197.931640625
195,3169.134765625
196,3200.857421875
197,3168.1279296875
198,3195.1533203125
199,3251.9560546875
200,3216.5908203125
201,3232.0693359375
202,3309.2470703125
203,3203.5947265625
204,3139.234375
205,3194.552734375
206,3298.916015625
207,3226.65625
208,3210.396484375
209,3245.75390625
210,3167.0859375
211,3335.4765625
212,3243.4296875
213,3234.501953125
214,3157.7880859375
215,3172.0634765625
216,3172.4736328125
217,3228.076171875
218,3227.0087890625
219,3220.5537109375
220,3240.603515625
221,3272.7822265625
222,3234.6357421875
223,3171.6611328125
224,3217.52734375
225,3160.9462890625
226,3270.1142578125
227,3127.064453125
228,3145.1533203125
229,3194.6787109375
230,3266.380859375
231,3301.4697265625
232,3207.42578125
233,3164.0400390625
234,3196.3525390625
235,3220.0908203125
236,3295.318359375
237,3190.060546875
238,3198.1689453125
239,3140.49609375
240,3127.62890625
241,3171.849609375
242,3088.9580078125
243,3257.2119140625
244,3157.9287109375
245,3188.869140625
246,3230.568359375
247,3282.5009765625
248,3123.068359375
249,3270.2216796875
250,3137.2587890625
251,3240.251953125
252,3244.369140625
253,3217.876953125
254,3214.5869140625
255,3183.09765625
256,3221.419921875
257,3193.630859375
258,3265.8974609375
259,3263.783203125
260,3168.4248046875
261,3244.59765625
262,3164.7216796875
263,3177.0712890625
264,3221.0390625
265,3203.2138671875
266,3137.4736328125
267,3260.986328125
268,3116.904296875
269,3219.1103515625
270,3141.59765625
271,3278.5361328125
272,3230.4423828125
273,3144.98828125
274,3175.4912109375
275,3200.4375
276,3099.783203125
277,3130.927734375
278,3172.39453125
279,3224.755859375
280,3089.03515625
281,3172.8212890625
282,3227.7197265625
283,3157.8203125
284,3184.265625
285,3140.849609375
286,3144.748046875
287,3153.3720703125
288,3270.55859375
289,3192.11328125
290,3209.7412109375
291,3144.8232421875
292,3200.529296875
293,3102.5029296875
294,3248.9443359375
295,3177.4638671875
296,3240.5849609375
297,3154.73046875
298,3151.666015625
299,3140.173828125
300,3154.6396484375
301,3088.9580078125
