pkid,method,layers,depth,num_params
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
10,QtoSolver,5,8702,100
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
