pkid,method,layers,depth,num_params
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
12,PenaltySolver,5,110,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,130,10
13,PenaltySolver,5,130,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,145,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,145,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,130,10
13,PenaltySolver,5,130,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,130,10
13,PenaltySolver,5,145,10
13,PenaltySolver,5,130,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,130,10
13,PenaltySolver,5,145,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,130,10
13,PenaltySolver,5,145,10
13,PenaltySolver,5,130,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,130,10
13,PenaltySolver,5,130,10
13,PenaltySolver,5,145,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,145,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,130,10
13,PenaltySolver,5,130,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,145,10
13,PenaltySolver,5,130,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,145,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,145,10
13,PenaltySolver,5,130,10
13,PenaltySolver,5,145,10
13,PenaltySolver,5,145,10
13,PenaltySolver,5,145,10
13,PenaltySolver,5,130,10
13,PenaltySolver,5,145,10
13,PenaltySolver,5,130,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,145,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,145,10
13,PenaltySolver,5,145,10
13,PenaltySolver,5,130,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,145,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,130,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,145,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,130,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,130,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,145,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,133,10
13,PenaltySolver,5,145,10
13,PenaltySolver,5,145,10
13,PenaltySolver,5,130,10
