pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,6,3,PenaltySolver,1.26953125,23.53515625,24.305524541997368,139,10.577957512097782,39.3598102669057,153
0,1,5,6,3,PenaltySolver,1.7578125,7.6171875,136.26503878996994,126,11.871844330991735,34.48926165699959,139
0,2,5,6,3,PenaltySolver,1.66015625,19.43359375,33.396223936069184,109,9.240650594118051,31.1965714138787,120
0,3,5,6,3,PenaltySolver,3.515625,10.15625,64.0442707799631,117,10.12102923898783,32.714450288010994,129
0,4,5,6,3,PenaltySolver,35.05859375,40.13671875,30.879115491336343,105,8.28544927611074,29.273259083885932,116
0,5,5,6,3,PenaltySolver,5.76171875,24.8046875,37.824023412283985,111,9.114842613023939,29.663941778970184,123
0,6,5,6,3,PenaltySolver,9.86328125,22.94921875,68.5973771341466,136,10.758947153954068,37.72174986003665,150
0,7,5,6,3,PenaltySolver,5.17578125,19.04296875,24.256258866815337,154,12.072898706086562,40.60267567790288,170
0,8,5,6,3,PenaltySolver,19.921875,30.17578125,56.7592772728009,100,7.660030262035434,29.518474187963875,111
0,9,5,6,3,PenaltySolver,5.17578125,12.6953125,40.336242650571094,98,7.881520445036585,24.082246105957893,108
0,10,5,6,3,PenaltySolver,0.87890625,16.2109375,73.13335495346293,118,10.212003027045284,29.074206234960002,130
0,11,5,6,3,PenaltySolver,1.171875,32.03125,28.793313402180402,129,9.658930272969883,32.12723743003153,142
0,12,5,6,3,PenaltySolver,12.6953125,26.85546875,52.23913567688857,107,7.874830035929335,27.18754781606549,118
0,13,5,6,3,PenaltySolver,0.48828125,46.875,16.10563857995407,121,8.411982606063248,30.796525229947292,134
0,14,5,6,3,PenaltySolver,7.03125,24.21875,43.032470667264604,114,10.155518958024913,27.931345774966758,126
0,15,5,6,3,PenaltySolver,23.6328125,28.3203125,23.146439975274344,116,8.805839413951617,29.235491765051847,128
0,16,5,6,3,PenaltySolver,0.78125,8.0078125,45.625574421690835,88,7.788063947984483,21.432287714022095,97
0,17,5,6,3,PenaltySolver,0.68359375,31.54296875,17.48186989729049,100,7.4737510511040455,24.198177354890504,111
0,18,5,6,3,PenaltySolver,1.07421875,11.81640625,35.73493301869765,100,8.120965914058615,25.155322815931868,111
0,19,5,6,3,PenaltySolver,0.68359375,8.49609375,80.75378407874526,112,9.29184793906461,27.41081574592681,124
0,20,5,6,3,PenaltySolver,4.00390625,19.82421875,33.47925965667654,96,7.959112469034153,23.54662206597277,106
0,21,5,6,3,PenaltySolver,0.29296875,8.984375,79.09936513550079,106,8.510539447059273,26.1063856909459,117
0,22,5,6,3,PenaltySolver,1.171875,11.1328125,26.136718739545312,109,9.564622442077962,25.748700272932183,120
0,23,5,6,3,PenaltySolver,6.8359375,26.171875,22.603600533650607,138,11.627726201957557,33.145162912042,152
0,24,5,6,3,PenaltySolver,2.44140625,10.64453125,30.51225140658534,100,7.753112219055765,24.3598092989414,111
0,25,5,6,3,PenaltySolver,10.546875,20.703125,34.46561470225494,103,9.886215815931791,23.942257408067235,114
0,26,5,6,3,PenaltySolver,1.26953125,16.69921875,66.33076165241923,124,10.824845719907898,30.197572348100948,137
0,27,5,6,3,PenaltySolver,0.390625,4.4921875,89.9403075047621,140,12.384513727083686,32.828932375923614,155
0,28,5,6,3,PenaltySolver,11.5234375,24.8046875,24.623612240329678,95,7.554159508974408,23.015380542026833,105
