pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count
0,0,5,6,3,HeaSolver,1.66015625,22.4609375,24.812779006041534,301
0,1,5,6,3,HeaSolver,2.734375,26.07421875,97.2458982430082,301
0,2,5,6,3,HeaSolver,1.7578125,19.43359375,36.90019528789987,301
0,3,5,6,3,HeaSolver,4.296875,27.05078125,40.31225582578145,301
0,4,5,6,3,HeaSolver,6.0546875,21.2890625,37.32289338851936,301
0,5,5,6,3,HeaSolver,12.59765625,22.0703125,33.834635394110244,301
0,6,5,6,3,HeaSolver,1.953125,18.45703125,80.00209251963987,301
0,7,5,6,3,HeaSolver,7.03125,16.89453125,25.198996792523182,301
0,8,5,6,3,HeaSolver,2.734375,21.77734375,67.48400870470748,301
0,9,5,6,3,HeaSolver,1.7578125,16.015625,35.31134030996166,301
0,0,5,6,3,PenaltySolver,1.26953125,23.53515625,24.305524541997368,139
0,1,5,6,3,PenaltySolver,1.7578125,7.6171875,136.26503878996994,126
0,2,5,6,3,PenaltySolver,1.66015625,19.43359375,33.396223936069184,109
0,3,5,6,3,PenaltySolver,3.515625,10.15625,64.0442707799631,117
0,4,5,6,3,PenaltySolver,35.05859375,40.13671875,30.879115491336343,105
0,5,5,6,3,PenaltySolver,5.76171875,24.8046875,37.824023412283985,111
0,6,5,6,3,PenaltySolver,9.86328125,22.94921875,68.5973771341466,136
0,7,5,6,3,PenaltySolver,5.17578125,19.04296875,24.256258866815337,154
0,8,5,6,3,PenaltySolver,19.921875,30.17578125,56.7592772728009,100
0,9,5,6,3,PenaltySolver,0.68359375,23.4375,34.43908689253807,112
0,0,5,6,3,ChocoSolver,95.8984375,100.0,0.042922247003370356,112
0,1,5,6,3,ChocoSolver,95.8984375,100.0,0.047460937405078125,103
0,2,5,6,3,ChocoSolver,91.50390625,100.0,0.0672526041218316,100
0,3,5,6,3,ChocoSolver,98.6328125,100.0,0.013590494780341253,123
0,4,5,6,3,ChocoSolver,91.796875,100.0,0.10546874992466518,98
0,5,5,6,3,ChocoSolver,92.7734375,100.0,0.050976562466015625,115
0,6,5,6,3,ChocoSolver,93.06640625,100.0,0.2465122764335539,113
0,7,5,6,3,ChocoSolver,83.69140625,100.0,0.09095348007229387,105
0,8,5,6,3,ChocoSolver,98.2421875,100.0,0.033447265583190916,128
0,9,5,6,3,ChocoSolver,97.16796875,100.0,0.021057128893089295,124
0,0,5,6,3,NewSolver,99.609375,100.0,0.0035342261887932255,146
0,1,5,6,3,NewSolver,100.0,100.0,0.0,142
0,2,5,6,3,NewSolver,100.0,100.0,0.0,164
0,3,5,6,3,NewSolver,99.70703125,100.0,0.0029296874975585935,143
0,4,5,6,3,NewSolver,100.0,100.0,0.0,143
0,5,5,6,3,NewSolver,99.8046875,100.0,0.0010416666659722222,146
0,6,5,6,3,NewSolver,99.609375,100.0,0.008928571415816327,132
0,7,5,6,3,NewSolver,99.70703125,100.0,0.0023526278398397146,135
0,8,5,6,3,NewSolver,99.8046875,100.0,0.005371093743286133,135
0,9,5,6,3,NewSolver,99.609375,100.0,0.0046386718721008295,138
0,0,5,6,3,QTOSimplifySolver,99.609375,100.0,0.0033482142841198977,82
0,1,5,6,3,QTOSimplifySolver,99.70703125,100.0,0.00351562499296875,90
0,2,5,6,3,QTOSimplifySolver,100.0,100.0,0.0,80
0,3,5,6,3,QTOSimplifySolver,99.4140625,100.0,0.005452473953789605,83
0,4,5,6,3,QTOSimplifySolver,99.609375,100.0,0.0053013392819276145,84
0,5,5,6,3,QTOSimplifySolver,99.609375,100.0,0.0052083333298611105,101
0,6,5,6,3,QTOSimplifySolver,95.703125,100.0,0.11997767840003189,94
0,7,5,6,3,QTOSimplifySolver,98.14453125,100.0,0.01238458806255246,96
0,8,5,6,3,QTOSimplifySolver,99.90234375,100.0,0.001098632811126709,89
0,9,5,6,3,QTOSimplifySolver,99.8046875,100.0,0.0010986328118133544,97
0,0,5,6,3,QTOSimplifyDiscardSolver,100.0,100.0,0.0,39
0,1,5,6,3,QTOSimplifyDiscardSolver,99.31640625,100.0,0.007617187484765625,39
0,2,5,6,3,QTOSimplifyDiscardSolver,99.8046875,100.0,0.0013020833324652776,42
0,3,5,6,3,QTOSimplifyDiscardSolver,98.4375,100.0,0.016031901028306747,45
0,4,5,6,3,QTOSimplifyDiscardSolver,99.70703125,100.0,0.003557477676030373,40
0,5,5,6,3,QTOSimplifyDiscardSolver,100.0,100.0,0.0,28
0,6,5,6,3,QTOSimplifyDiscardSolver,100.0,100.0,0.0,29
0,7,5,6,3,QTOSimplifyDiscardSolver,99.70703125,100.0,0.001464843749334162,49
0,8,5,6,3,QTOSimplifyDiscardSolver,99.51171875,100.0,0.01098632811126709,41
0,9,5,6,3,QTOSimplifyDiscardSolver,99.90234375,100.0,0.0005493164059066772,47
2,8,5,21,12,HeaSolver,0,0,143.23408199544147,201
2,9,5,21,12,HeaSolver,0,0,184.91910276292933,201
1,0,5,14,9,HeaSolver,0.09765625,0.1953125,110.90425927224835,301
1,1,5,14,9,HeaSolver,0,0.1953125,79.91281464794088,301
1,2,5,14,9,HeaSolver,0,0.1953125,82.01704796763798,301
1,3,5,14,9,HeaSolver,0,0.1953125,72.05805662261048,301
1,4,5,14,9,HeaSolver,0.09765625,0.1953125,99.36382000884007,301
1,5,5,14,9,HeaSolver,0.09765625,0.1953125,99.27798353257656,301
1,6,5,14,9,HeaSolver,0.09765625,0.1953125,60.00313312552018,301
1,7,5,14,9,HeaSolver,0,0.1953125,69.99499807744024,301
