pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
6,42,5,20,8,PenaltySolver,0.1953125,2.05078125,92.6834434739679,120,339.4460871919,16.393343336123507,133
6,43,5,20,8,PenaltySolver,0,0.09765625,506.2413497232266,93,254.53164286294486,12.562383208045503,103
6,44,5,20,8,PenaltySolver,0,0.390625,123.24037382524267,123,330.52493205378414,15.882131181220757,136
6,45,5,20,8,PenaltySolver,0,0,770.7895494966008,95,262.47427686999436,12.400729115033755,105
6,46,5,20,8,PenaltySolver,0,0,241.2906043137944,97,273.42962712203735,13.25449988298351,107
6,47,5,20,8,PenaltySolver,0,0.48828125,419.121972237128,113,318.88963327903184,15.53275553297135,125
6,48,5,20,8,PenaltySolver,0,0.09765625,329.29652599246674,109,310.5484203018714,14.632888085121522,120
6,49,5,20,8,PenaltySolver,0,0.1953125,429.5411927913262,98,291.59822728007566,13.583199958928162,108
6,50,5,20,8,PenaltySolver,0,0.09765625,299.90260981258854,99,290.17362038212013,14.10151217188104,109
6,51,5,20,8,PenaltySolver,0,0.29296875,279.64472637607014,115,345.05448333814275,16.347785122867208,127
6,52,5,20,8,PenaltySolver,0,0.09765625,398.2065424709918,106,305.365769955999,14.715931464015739,117
6,53,5,20,8,PenaltySolver,0,0.29296875,160.07897942548792,110,319.2918828931579,15.408373253856553,122
6,54,5,20,8,PenaltySolver,0,0,254.87669600072277,93,281.3241951520031,13.367019047000213,103
6,55,5,20,8,PenaltySolver,0,0.29296875,161.64038072467469,125,357.4018145747832,17.54457183420891,138
6,56,5,20,8,PenaltySolver,0,0,187.31334622929108,104,301.1461595101573,14.54263218183769,115
6,57,5,20,8,PenaltySolver,0,0.29296875,207.09889895945554,97,278.45927769472473,13.929454377270304,107
6,58,5,20,8,PenaltySolver,0,0,371.72639912003933,131,357.21838212324656,18.145767036738107,145
6,59,5,20,8,PenaltySolver,0,0.29296875,168.90958644778365,103,283.91089260808076,14.219898451934569,114
6,60,5,20,8,PenaltySolver,0,0,410.4804682939106,84,234.40751025811187,11.31057370788767,93
6,61,5,20,8,PenaltySolver,0,0,404.178384743036,126,334.61505737988045,17.601067779120058,139
6,62,5,20,8,PenaltySolver,0,0,269.6619589271831,94,265.35615534413955,12.870118102844572,104
6,63,5,20,8,PenaltySolver,0,0,129.96736648230527,102,283.06922330203815,14.337192536971997,113
6,64,5,20,8,PenaltySolver,0,0,304.5345048699616,133,381.8964001441782,18.88086853281129,147
6,65,5,20,8,PenaltySolver,0,0.29296875,170.52841323724837,115,334.52295338510885,16.193607555906055,127
6,66,5,20,8,PenaltySolver,0,0,534.6881967808026,103,297.70876075394335,14.49190549805644,114
6,67,5,20,8,PenaltySolver,0,0,141.02671869358932,122,361.49459515011404,17.503439782885835,135
6,68,5,20,8,PenaltySolver,0,0,264.1208681862532,112,327.3892327149224,16.019400511082495,124
6,69,5,20,8,PenaltySolver,0,0,210.64100043892998,103,292.5124076019274,14.743678150058258,114
6,70,5,20,8,PenaltySolver,0,0,250.3657600237571,109,317.2487358348735,15.299082757119322,120
6,71,5,20,8,PenaltySolver,0,0.29296875,97.75734226703432,115,333.7937338940101,16.572348351968685,127
6,72,5,20,8,PenaltySolver,0,0.1953125,313.0114392849837,121,337.2673693528923,16.99959263909841,134
6,73,5,20,8,PenaltySolver,0,0.1953125,83.28218746668712,105,295.8146254219173,14.809828598081367,116
6,74,5,20,8,PenaltySolver,0.09765625,0.5859375,441.0821701288112,118,335.729940784222,15.80518247577129,130
6,75,5,20,8,PenaltySolver,0.09765625,0.29296875,205.65980094940016,116,322.9677915921202,15.984109703887952,128
6,76,5,20,8,PenaltySolver,0,0,231.87494561770836,101,285.86010555987014,14.422992479143431,112
6,77,5,20,8,PenaltySolver,0,0,397.42504833134365,101,285.50040057796286,14.05018370001926,112
6,78,5,20,8,PenaltySolver,0,0.48828125,286.91165843314485,99,290.8699297021085,13.533254056877922,109
6,79,5,20,8,PenaltySolver,0,0.09765625,509.0781243636523,112,332.5781443970045,16.534977400995558,124
6,80,5,20,8,PenaltySolver,0,0.1953125,566.0958244876927,91,271.01992613996845,13.20154058202752,101
6,81,5,20,8,PenaltySolver,0,0.09765625,110.02303336723344,123,363.71239873211016,17.648313808866078,136
6,82,5,20,8,PenaltySolver,0,0.1953125,323.12451139562546,115,335.64246349813766,16.21718192388653,127
6,83,5,20,8,PenaltySolver,0,0.29296875,496.2201443803998,108,314.12952373203007,15.653001676953863,119
6,84,5,20,8,PenaltySolver,0,0,288.41139888553505,111,322.4847832460946,15.579688778903801,123
6,85,5,20,8,PenaltySolver,0,0,171.29236772257985,94,277.1606101189682,13.268524576007621,104
6,86,5,20,8,PenaltySolver,0,0.1953125,548.4670403300412,108,313.638580913248,15.389093361765845,119
6,87,5,20,8,PenaltySolver,0,0.09765625,925.129490337241,90,264.0961223800841,12.445940722915111,100
6,88,5,20,8,PenaltySolver,0,0,491.88498209234996,95,272.87498890722054,12.960529949777992,105
6,89,5,20,8,PenaltySolver,0,0.09765625,205.4240450247644,99,276.38092817910365,12.98660230988753,109
6,90,5,20,8,PenaltySolver,0,0,183.70947257970437,97,274.93743670301046,12.759738759981701,107
6,91,5,20,8,PenaltySolver,0,0.9765625,243.14270817123818,105,283.63420670406776,14.158666486939183,116
6,92,5,20,8,PenaltySolver,0,0,200.04456198352918,97,266.71961869628285,13.018468225724064,107
6,93,5,20,8,PenaltySolver,0,0.1953125,332.32986074185567,131,347.04649224388413,17.028190394106787,145
6,94,5,20,8,PenaltySolver,0,0.1953125,409.4550777155449,97,260.8954795310565,12.958461648930097,107
6,95,5,20,8,PenaltySolver,0,0.09765625,245.01308577415793,110,300.98741689694,14.541062447067816,122
6,96,5,20,8,PenaltySolver,0.09765625,1.26953125,172.21923810903075,108,271.90205227403203,14.324047140951734,119
6,97,5,20,8,PenaltySolver,0,0.09765625,291.46379184310473,107,285.3725414412038,13.502457875816617,118
6,98,5,20,8,PenaltySolver,0,0.09765625,171.66198192264696,114,304.91883665003115,14.592402934969869,126
6,99,5,20,8,PenaltySolver,0,0.09765625,525.4789334011015,89,235.98185106902383,11.445847724971827,98
6,0,5,20,8,HeaSolver,0,0,286.8131101723043,301,774.4625000409724,16.53226898703724,331
