Iteration,Cost
1,27.439453125
2,27.884765625
3,29.224609375
4,27.8017578125
5,26.9091796875
6,29.7080078125
7,24.294921875
8,27.130859375
9,27.990234375
10,22.5068359375
11,22.4755859375
12,22.0166015625
13,21.6875
14,21.6748046875
15,26.6669921875
16,21.654296875
17,21.708984375
18,22.7666015625
19,24.330078125
20,21.396484375
21,25.5751953125
22,21.09375
23,22.16796875
24,19.013671875
25,20.2265625
26,19.849609375
27,27.0732421875
28,19.458984375
29,15.4482421875
30,21.3291015625
31,14.48828125
32,22.298828125
33,13.5859375
34,21.15234375
35,15.5185546875
36,13.3720703125
37,13.5927734375
38,19.474609375
39,7.580078125
40,7.2099609375
41,7.240234375
42,10.658203125
43,7.2060546875
44,9.2333984375
45,7.474609375
46,11.0791015625
47,8.4140625
48,10.1669921875
49,7.3671875
50,10.0947265625
51,7.7705078125
52,9.1181640625
53,7.6728515625
54,9.6484375
55,7.41796875
56,8.1416015625
57,8.2099609375
58,8.0078125
59,7.826171875
60,7.2734375
61,9.0302734375
62,7.3974609375
63,8.1748046875
64,7.6328125
65,7.2744140625
66,7.5419921875
67,8.0908203125
68,7.455078125
69,6.984375
70,7.177734375
71,6.6728515625
72,6.6357421875
73,7.166015625
74,6.791015625
75,7.1142578125
76,6.7451171875
77,6.7333984375
78,6.7421875
79,6.9306640625
80,6.693359375
81,6.8857421875
82,7.052734375
83,6.83984375
84,6.99609375
85,6.96484375
86,7.1240234375
87,7.033203125
88,6.9365234375
89,6.755859375
90,7.0498046875
91,7.05078125
92,6.7998046875
93,6.611328125
94,6.6337890625
95,6.626953125
96,6.7841796875
97,6.6513671875
98,6.908203125
99,6.8330078125
100,6.8046875
101,6.6689453125
102,7.0087890625
103,7.1142578125
104,6.634765625
105,7.0205078125
106,6.7724609375
107,6.8310546875
108,6.8125
109,6.92578125
110,6.7861328125
111,7.037109375
112,6.8857421875
113,6.7373046875
114,6.740234375
115,6.61328125
116,6.75
117,6.7236328125
118,6.939453125
119,6.599609375
120,6.6630859375
121,6.84375
122,6.748046875
123,6.80859375
124,6.7138671875
125,6.822265625
126,6.8134765625
127,6.76953125
128,6.6513671875
129,6.6865234375
130,6.6474609375
131,6.6494140625
132,6.8466796875
133,6.9716796875
134,6.9365234375
135,6.7548828125
136,6.7890625
137,6.9150390625
138,6.888671875
139,6.9970703125
140,6.7744140625
141,6.9189453125
142,6.8427734375
143,7.0029296875
144,6.6435546875
145,6.7822265625
146,6.73046875
147,6.83203125
148,6.740234375
149,6.5595703125
150,6.8671875
151,6.72265625
152,6.658203125
153,6.9423828125
154,6.8388671875
155,6.6708984375
156,6.6865234375
157,6.755859375
158,6.7119140625
159,6.8583984375
160,6.798828125
161,6.7158203125
162,6.5439453125
163,6.6513671875
164,6.8564453125
165,6.77734375
166,6.8125
167,6.9345703125
168,6.8095703125
169,6.7197265625
170,6.7958984375
171,6.8876953125
172,6.8857421875
173,6.6787109375
174,6.80859375
175,6.904296875
176,6.912109375
177,6.7197265625
178,6.623046875
179,6.703125
180,6.7138671875
181,6.76171875
182,6.603515625
183,6.7509765625
184,6.6484375
185,6.9501953125
186,6.8876953125
187,6.8310546875
188,6.7763671875
189,6.955078125
190,6.744140625
191,6.671875
192,6.90625
193,6.8154296875
194,6.728515625
195,6.673828125
196,6.69140625
197,7.0478515625
198,6.8935546875
199,6.75
200,6.8212890625
201,6.75390625
202,6.7861328125
203,6.8212890625
204,6.91015625
205,6.9326171875
206,6.6142578125
207,6.9052734375
208,6.7138671875
209,6.796875
210,6.9609375
211,6.7421875
212,6.791015625
213,6.8115234375
214,6.73828125
215,6.771484375
216,6.9013671875
217,6.6767578125
218,6.859375
219,6.947265625
220,6.7861328125
221,6.7392578125
222,6.7646484375
223,6.830078125
224,6.7294921875
225,6.853515625
226,6.943359375
227,6.705078125
228,6.896484375
229,6.77734375
230,6.775390625
231,6.7685546875
232,6.7236328125
233,6.640625
234,6.8583984375
235,6.8662109375
236,6.935546875
237,6.888671875
238,6.8193359375
239,7.1298828125
240,6.7158203125
241,6.74609375
242,6.7880859375
243,6.8251953125
244,6.7958984375
245,6.7509765625
246,6.8173828125
247,6.8095703125
248,6.7998046875
249,6.6884765625
250,6.81640625
251,6.7763671875
252,6.7802734375
253,6.8466796875
254,6.912109375
255,6.7216796875
256,6.8408203125
257,6.671875
258,6.74609375
259,6.724609375
260,6.9560546875
261,6.9169921875
262,6.65625
263,6.8466796875
264,6.7451171875
265,6.82421875
266,6.625
267,6.892578125
268,6.86328125
269,6.783203125
270,6.9677734375
271,6.697265625
272,6.865234375
273,6.7626953125
274,6.8125
275,6.8369140625
276,6.7734375
277,6.7734375
278,6.7314453125
279,6.8564453125
280,6.8505859375
281,6.697265625
282,6.6982421875
283,6.84375
284,6.8876953125
285,6.6015625
286,6.6171875
287,7.07421875
288,6.8037109375
289,6.71484375
290,6.533203125
291,6.7919921875
292,6.7978515625
293,6.8056640625
294,6.7880859375
295,6.806640625
296,6.75
297,6.80859375
298,6.8203125
299,6.87109375
300,6.9130859375
301,6.6337890625
