Iteration,Cost
1,4041.8974609375
2,4041.8974609375
3,4041.8974609375
4,4041.8974609375
5,4041.8974609375
6,4041.8974609375
7,4041.8974609375
8,4041.8974609375
9,4041.8974609375
10,4041.8974609375
11,4041.8974609375
12,4041.8974609375
13,4041.8974609375
14,4041.8974609375
15,4041.8974609375
16,4033.1328125
17,4014.791015625
18,4050.560546875
19,4081.4892578125
20,4234.95703125
21,3996.9365234375
22,4616.7880859375
23,3996.8837890625
24,4137.5556640625
25,3986.7138671875
26,3940.69921875
27,3881.283203125
28,3721.7978515625
29,3980.158203125
30,3795.09765625
31,3721.7978515625
32,3721.7978515625
33,3721.7978515625
34,3721.7978515625
35,3721.7978515625
36,3721.7978515625
37,3721.7978515625
38,3721.7978515625
39,3721.7978515625
40,3721.7978515625
41,3721.7978515625
42,3721.7978515625
43,3721.7978515625
44,3721.7978515625
45,3721.7978515625
46,3222.611328125
47,2823.58984375
48,2888.2509765625
49,2823.58984375
50,2970.0849609375
51,2823.58984375
52,2530.88671875
53,2726.4736328125
54,2530.88671875
55,2553.140625
56,2530.88671875
57,2706.9521484375
58,2530.88671875
59,2547.169921875
60,2530.88671875
61,2540.2001953125
62,2530.88671875
63,2537.109375
64,2530.88671875
65,2583.44140625
66,2530.88671875
67,2600.1376953125
68,2530.88671875
69,2770.3173828125
70,2787.7197265625
71,2570.1650390625
72,2572.994140625
73,2654.2587890625
74,2481.169921875
75,2451.66796875
76,2303.576171875
77,2183.771484375
78,2171.6953125
79,2241.51171875
80,2167.2890625
81,2208.890625
82,2177.1455078125
83,2358.7099609375
84,2188.740234375
85,2455.46875
86,2181.7333984375
87,2299.861328125
88,2177.4501953125
89,2434.1279296875
90,2234.701171875
91,2378.84375
92,2193.1328125
93,2195.853515625
94,2167.2890625
95,2143.2470703125
96,2143.2470703125
97,2017.45703125
98,2017.45703125
99,1893.228515625
100,1893.228515625
101,2058.9482421875
102,1893.228515625
103,2338.6943359375
104,1901.4775390625
105,2291.982421875
106,1855.5732421875
107,1947.8994140625
108,1974.5927734375
109,1928.076171875
110,1871.1474609375
111,1885.677734375
112,1857.4619140625
113,1871.365234375
114,1855.5732421875
115,1874.0009765625
116,1855.5732421875
117,1895.5458984375
118,1855.5732421875
119,1909.203125
120,1855.5732421875
121,1922.8359375
122,1943.4287109375
